variant_name,mean_best_val_loss,mean_best_val_accuracy,mean_runtime_per_step_ms,mean_selection_score,source_csv
rmsprop_baseline,0.25783941510599107,0.9083658866584301,1.8813172636966355,0.308752886312296,reports/accepted_bcdo/ablation_results.csv
v42_baseline,0.5167120511760004,0.7435635644942522,25.251104022693212,0.19315467882799564,reports/accepted_bcdo/ablation_results.csv
recoverability_periodic,0.5575576747651212,0.7299508769065142,24.170209117387564,0.16349431969408582,reports/accepted_bcdo/ablation_results.csv
no_conv_fallback_relaxation,0.5734420038061216,0.7240027226507664,25.36693575939506,0.15054019996821863,reports/accepted_bcdo/ablation_results.csv
no_conv_support_bonus,0.5734420038061216,0.7240027226507664,25.989471956347757,0.15054019996821863,reports/accepted_bcdo/ablation_results.csv
v4_fast_full,0.5734420038061216,0.7240027226507664,25.855195752022126,0.15054019996821863,reports/accepted_bcdo/ablation_results.csv
no_trusted_direction,0.5873751689214259,0.7087032422423363,23.92133855045008,0.141627153052263,reports/accepted_bcdo/ablation_results.csv
no_stable_consensus,0.5918869041488506,0.7120916172862053,22.83974094147978,0.13679908699670834,reports/accepted_bcdo/ablation_results.csv
no_conv_structure_support,0.5980531267123297,0.7003728691488504,25.249183800916434,0.1366739844997962,reports/accepted_bcdo/ablation_results.csv
no_conv_profile_split,0.6052611089544371,0.6945726815611124,25.467111558108535,0.1332905296839523,reports/accepted_bcdo/ablation_results.csv
no_matrix_consensus,0.5931593003915623,0.7071792148053646,21.48730149515094,0.12838363260030494,reports/accepted_bcdo/ablation_results.csv
v4_fast_legacy,0.6174061141209677,0.6814186796545982,25.313271372361267,0.1258708547802488,reports/accepted_bcdo/ablation_results.csv
no_block_structure,0.6323336848290637,0.6799538359045982,22.328421797953645,0.12337072308961344,reports/accepted_bcdo/ablation_results.csv
adamw_baseline,0.8388797414954752,0.7818714454770088,2.0591299640721688,-0.16405786824309593,reports/accepted_bcdo/ablation_results.csv
