task,optimizer,baseline,win,two_x,rationale
pinn_harmonic_oscillator,blockwise_consensus_direction_optimizer,bcdo_structured_core,True,False,lower best validation loss
pinn_heat_equation,blockwise_consensus_direction_optimizer,bcdo_structured_core,True,False,lower best validation loss
pinn_poisson_1d,blockwise_consensus_direction_optimizer,bcdo_structured_core,True,False,lower best validation loss
pinn_harmonic_oscillator,blockwise_consensus_direction_optimizer,magneto_hamiltonian_adam,True,False,lower best validation loss
pinn_heat_equation,blockwise_consensus_direction_optimizer,magneto_hamiltonian_adam,True,False,lower best validation loss
pinn_poisson_1d,blockwise_consensus_direction_optimizer,magneto_hamiltonian_adam,False,False,no clear advantage
pinn_harmonic_oscillator,blockwise_consensus_direction_optimizer,real_hamiltonian_adam,True,False,lower best validation loss
pinn_heat_equation,blockwise_consensus_direction_optimizer,real_hamiltonian_adam,True,False,lower best validation loss
pinn_poisson_1d,blockwise_consensus_direction_optimizer,real_hamiltonian_adam,False,False,no clear advantage
pinn_harmonic_oscillator,blockwise_consensus_direction_optimizer,adamw,True,False,lower best validation loss
pinn_heat_equation,blockwise_consensus_direction_optimizer,adamw,False,False,no clear advantage
pinn_poisson_1d,blockwise_consensus_direction_optimizer,adamw,False,False,no clear advantage
pinn_harmonic_oscillator,blockwise_consensus_direction_optimizer,rmsprop,False,False,no clear advantage
pinn_heat_equation,blockwise_consensus_direction_optimizer,rmsprop,True,False,lower best validation loss
pinn_poisson_1d,blockwise_consensus_direction_optimizer,rmsprop,True,False,lower best validation loss
pinn_harmonic_oscillator,blockwise_consensus_direction_optimizer,sgd_momentum,True,False,lower best validation loss
pinn_heat_equation,blockwise_consensus_direction_optimizer,sgd_momentum,True,False,lower best validation loss
pinn_poisson_1d,blockwise_consensus_direction_optimizer,sgd_momentum,True,False,lower best validation loss
